Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,SubVertical,Investors Name,InvestmentnType,Amount in USD,Remarks,City
1246,28/11/2016,WholeSaleBox,eCommerce,B2B Wholesale Apparel Marketplace,"Manish Maheshwari, Contrarian Vriddhi Fund",Private Equity,2000000,,Jaipur
1248,29/11/2016,Affordplan,Consumer Internet,Savings platform for Medical Expenses,"Prime Venture Partners, Kalaari Capital",Private Equity,3000000,,New Delhi
1249,30/11/2016,HandyTrain,Consumer Internet,Mobile App for SAAS based Training,"Silver Range Investments, Lumina Datamatics, Shun Yoshida & Others",Private Equity,1000000,,Goa
1250,30/11/2016,ShopsUp,eCommerce,Hyperlocal Shopping App,"Anand Sankeshwar, Yang Shu",Seed Funding,963000,,Bangalore
1251,30/11/2016,Indofash,eCommerce,Ethnic Indian Fashion Marketplace,"Shekhar Sahu, Nitesh Pant",Seed Funding,150000,,Bangalore
1252,30/11/2016,Entropika,Technology,"AI, Machine learning Solutions","Dileep Bhatt, Milind Chaudhary",Seed Funding,200000,,Bangalore
1253,30/11/2016,MarianaIQ,Technology,AI-driven B2B marketing platform,Exfinity Venture Partners,Private Equity,2000000,,Bangalore
1254,30/11/2016,Chai Thela,Food & Beverage,Quick Service Restaurants,Quarizon,Seed Funding,218000,,Noida
1255,30/11/2016,Interviewpad,Technology,Engineering Interview facilitation platform,Krishna Rokhale,Seed Funding,100000,,Pune
1256,30/11/2016,Math Buddy,Consumer Internet,Online Math Learn,Menterra Social Impact Fund,Seed Funding,440000,,Vadodara
1257,30/11/2016,Pulse,Consumer Internet,Campus Social Networking App,SAIF Partners,Private Equity,500000,,Bangalore
1259,30/11/2016,Carcrew.in,Consumer Internet,Online Car repair Marketplace,TVS Group,Seed Funding,500000,,Mumbai
1261,03/10/2016,Mystifly,Consumer Internet,Airline Ticket Aggregator,Recruit Holdings,Private Equity,5000000,,Bangalore
1263,03/10/2016,Uniphore,Technology,Speech Recognition Solutions,"IDG Ventures, Indian Angel Network (IAN), YourNest Angel Fund",Private Equity,2000000,,Chennai
1264,03/10/2016,World Art Community,eCommerce,Art & Craft Marketplace,Viraj Tyagi & Others,Seed Funding,200000,,Gurgaon
1265,04/10/2016,Giftxoxo,eCommerce,Online Gifting platform,Mahindra Holidays & Resorts India Ltd,Private Equity,450000,,Bangalore
1268,04/10/2016,India Gifts Portal,eCommerce,Online Gifting platform,"Naveen Arya, Tarun Joshi",Private Equity,2000000,,Noida
1269,04/10/2016,Moglix,eCommerce,Industrial & Home products marketplace,"Accel Partners, Jungle Ventures, SeedPlus",Private Equity,4200000,,Noida
1270,04/10/2016,NetLinx,Consumer Internet,Internet Service Provider,"Xchange Investors NV, TransGlobal FZC",Private Equity,3000000,,Hyderabad
1272,04/10/2016,Remitr,Consumer Internet,Foreign Currency Payments Platform,"Vijay Shekhar Sharma, Pravin Gandhi,\\xc2\\xa0 Smart Start Fund; Kunal Shah,\\xc2\\xa0 Sandeep Tandon, Vishal Gondal, & Others",Seed Funding,1000000,,Mumbai
1273,04/10/2016,InnerChef,Consumer Internet,Online food ordering platform,"Mistletoe, M&S Partners",Private Equity,2500000,,Gurgaon
1274,04/10/2016,AppsDaily,Consumer Internet,"Mobile Phone Theft, Damage Protection platform","Zodius Capital, Kalaari Capital, Qualcomm Ventures, Russian venture capital fund Ru-Net, Mumbai Angels",Private Equity,3750000,,Mumbai
1278,05/10/2016,UE LifeSciences,Technology,Mobile Health Technology Solutions,"Kiran Mazumdar-Shaw, Unitus Seed Fund",Private Equity,1200000,,Mumbai
1280,06/10/2016,RealBox,Technology,Data Sciences Platform,Hyderabad Angels,Seed Funding,300000,,Noida
1282,06/10/2016,GoZefo,eCommerce,Used Furniture & Appliances Marketplace,"Helion Venture Partners, BeeNext",Private Equity,1050000,,Bangalore
1283,07/10/2016,RayIOT,Technology,Baby Monitoring Devices manufacturer,HAX Accelerator,Seed Funding,100000,,Bangalore
1284,07/10/2016,KOOH Sports,Technology,Sports Training & Technology,"HDFC, Faering Capital, Elevate Sports",Private Equity,2200000,,Mumbai
1285,07/10/2016,Flexiloans,Consumer Internet,Online Funds Raising Platform,"Sanjay Nayar, Vikram Sud, Anil Jaggia, Narayan Seshadri",Private Equity,15000000,,Mumbai
1287,10/10/2016,Vithi.com,eCommerce,Online Hair Extension etailer,undisclosed investor,Seed Funding,375000,,New Delhi
1288,11/10/2016,Yupp TV,Consumer Internet,Internet-based TV streaming service provider,Emerald Media,Private Equity,50000000,,Bangalore
1289,11/10/2016,Deyor Camps,Consumer Internet,Branded Camping location Aggregator,"Nitin Passi, Manickam Mahalingam, Udaan Angels, Rajesh Arora, Arkas Industries",Seed Funding,500000,,Gurgaon
1291,13/10/2016,FabAlley,ecommerce,online fashion brand store,"India Quotient, FAO Ventures, Indian Angel Network, Tushar Singh, Ranjan Sharma",Private Equity,2000000,,Noida
1294,13/10/2016,RoboVac,Technology,waterless car washing solution,Virendra Patel,Seed Funding,450000,,Ahmedabad
1295,14/10/2016,Newspatrolling,Consumer Internet,Online News portal,Undisclosed,Seed Funding,25000,,New Delhi
1296,14/10/2016,Postman,Consumer Internet,API Platform,Nexus Venture Partners,Private Equity,7000000,,Bangalore
1297,14/10/2016,ISFC,Finance,Education Sector Lending,Gray Matters Capital,Private Equity,6000000,,Hyderabad
1301,15/10/2016,DailyHunt,Consumer Internet,Vernacular content mobile app,"ByteDance, Arun Sarin, Matrix Partners, Sequoia Capital India, Omidyar Network,\\xc2\\xa0 Falcon Edge",Private Equity,25000000,,Bangalore
1302,15/10/2016,Tazzo Bikes,Consumer Internet,Motorbike rental platform,DSG Consumer Partners,Seed Funding,227000,,Hyderabad
1303,15/10/2016,MyKindofJob,Consumer Internet,Internet & Fresher Job platform,"Mayank Shah, Shreyans Shah",Seed Funding,1000000,,Mumbai
1306,17/10/2016,Yumigo,Consumer Internet,App based Travel Discovery and Transactions platform,Hemant Sahni,Seed Funding,300000,,Gurgaon
1307,17/10/2016,Rentalpha,Others,equipment rental and leasing company,Bravia Capital,Private Equity,16000000,,Mumbai
1308,18/10/2016,3Dexter,Technology,3D Printing Solutions for Edu space,Newbie Promoters,Seed Funding,150000,,New Delhi
1311,18/10/2016,MySUN,Technology,Solar Energy harnessing products marketplace,General Catalyst Partners,Private Equity,2500000,,Noida
1313,19/10/2016,Furlenco,Consumer Internet,Online Furniture Rental platform,"Lightbox Ventures, Axis Capital & Others",Private Equity,30000000,,Bangalore
1314,19/10/2016,Fisdom,Consumer Internet,Personal Wealth Management Platform & App,"Saama Capital, Raghunandan G, Aprameya Radhakrishna",Private Equity,1100000,,Bangalore
1315,19/10/2016,Actofit,Technology,Wearable Technology platform & devices,Next Orbit Ventures Fund,Private Equity,750000,,Mumbai
1319,21/10/2016,ChatOnGo,Consumer Internet,Hyperlocal\\xc2\\xa0 Communication Mobile app,Janak Jain,Seed Funding,300000,,Mumbai
1321,24/10/2016,Healthians,Consumer Internet,Health Test Discovery & Ordering service,BEENEXT,Private Equity,3000000,,Gurgaon
1322,24/10/2016,Box8,Consumer Internet,Online Food Ordering platform/App,"IIFL Seed Ventures Fund, Mayfield Ventures",Private Equity,7500000,,Mumbai
1323,25/10/2016,Kredx,eCommerce,Invoice discounting marketplace,Sequoia Capital,Private Equity,6000000,,Bangalore
1324,25/10/2016,CreditMate,Consumer Internet,Credit Report Info platform,India Quotient,Seed Funding,500000,,Mumbai
1327,25/10/2016,SooperMO,Technology,Android utility app suite creator,Lalit Vase,Seed Funding,100000,,Gurgaon
1328,26/10/2016,OrangeTwig,Consumer Internet,Social Media Marketing platform,Undisclosed investor,Seed Funding,1000000,,New Delhi
1330,26/10/2016,The Kettlery,eCommerce,Online Tea Etailer,"hooting Starts Sports LLP, Franchise India Brands",Private Equity,1000000,,Ahmedabad
1331,27/10/2016,Idea Bubbles,Consumer Internet,Doctor Consulting platform,"1Crowd, Eureka Forbes Ltd, Shapoorji Pallonji & Co. Ltd.",Private Equity,700000,,Bangalore
1332,27/10/2016,FR8,Technology,Truck Fleet Operation platform,Omnivore Partners,Private Equity,971000,,Chennai
1333,27/10/2016,Ather Energy,Technology,Electric Vehicle Manufacturer,Hero MotoCorp,Private Equity,27000000,,Bangalore
1335,29/10/2016,Velmenni,Technology,LiFi based wireless communication provider,Kalaari Capital,Seed Funding,100000,,New Delhi
1336,29/10/2016,Volta Motors,Technology,Electric Bike Manufacturer,Kalaari Capital,Seed Funding,100000,,Chennai
1337,29/10/2016,Cyclops,Technology,Clinical and Wearable Diagnostic Product creator,Kalaari Capital,Seed Funding,100000,,Bangalore
1338,30/10/2016,Impact Analytics,Technology,Business intelligence and data science Startup,"Aarin Capital, Michael Herzig, Ashish Lakhanpal",Private Equity,750000,,Bangalore
1339,31/10/2016,Talent Next,Consumer Internet,Talent Discovery & Audition management platform,Karanpal Singh & Others,Seed Funding,1000000,,Mumbai
1341,01/09/2016,Mihup,Technology,Personal Digital Assistant,Accel Partners,Private Equity,6700000,,Kolkata
1347,06/09/2016,eShakti,eCommerce,Women\xe2\x80\x99s Fashion Apparel eTailer,"Infina Finance Pvt. Ltd, Uday Kotak",Private Equity,1350000,,Chennai
1348,06/09/2016,CheersOye!,Consumer Internet,Online Gift Vouchers platform,Undisclosed Investors,Seed Funding,500000,,Mumbai
1350,06/09/2016,BigStylist,Consumer Internet,Hyperlocal doorstep Beauty Services provider,Info Edge (India) Ltd,Private Equity,900000,,Mumbai
1351,07/09/2016,Zilingo,eCommerce,Online Fashion Retailer,"Venturra Capital, Sequoia India, Susquehanna International Group.\\xc2\\xa0 Wavemaker Partners, Beenext, Beenos, Digital Garage",Private Equity,8000000,,Bangalore/ Bangkok
1352,07/09/2016,Alternacare,Consumer Internet,Online Doctor Consulting platform,Eros Labs,Seed Funding,500000,,New Delhi
1353,07/09/2016,Simplilearn,Education,Online Certification programs,InnoVen Capital India,Private Equity,6000000,,Bangalore
1354,07/09/2016,Prozo,eCommerce,Study Material Marketplace,"Earlsfield Capital, Sailender Solanki, Rajiv Solanki",Seed Funding,315000,,Gurgaon
1355,08/09/2016,TopRankers,Education,Online Test Preparation platform,"CareerNet Consulting Pvt. Ltd, Ideation Initiative Pvt. Ltd,",Seed Funding,670000,,Bangalore
1356,08/09/2016,BuildTraders,eCommerce,Online Construction Materials Marketplace,Idein Ventures,Seed Funding,200000,,Bangalore
1357,09/09/2016,Byju\\xe2\\x80\\x99s,Education,Online Learning App,"Chan Zuckerberg Initiative, Times Internet Ltd, Sequoia Capital, Sofina, Lightspeed Ventures",Private Equity,50000000,,Bangalore
1360,10/09/2016,CureInstant,Consumer Internet,Social Health Networking Platform,Dr. Rameshwar Kumar,Seed Funding,150000,,New Delhi
1361,10/09/2016,Poshtic,Consumer Internet,Online health & Wellness platform,"havya Sharma, Amit Nagar",Seed Funding,450000,,Noida
1363,12/09/2016,Purple Style Labs,Consumer Internet,Personal Styling Online platform,"Augment Ventures, Rahul Kayan, Nikhil Golcha, Shubham Gupta, Roy Kwan",Seed Funding,448000,,Mumbai
1364,12/09/2016,Inuxu,Technology,Online Advertising Solutions,Fork Media,Private Equity,3000000,,Pune
1365,12/09/2016,Nykaa,eCommerce,Online Beauty products eTailer,"Sunil Munjal, Mariwala family",Private Equity,12300000,,Mumbai
1366,12/09/2016,Glam Studios,Consumer Internet,Beauty Salon Aggregator,"Pradeep Mirani, Aqeel Ahmed, Anand Ladsariya, Nitin Agarwal",Seed Funding,300000,,Noida
1370,13/09/2016,NearBuy,Consumer Internet,Online Deals & Discount platform,BlackSoil Capital Pvt. Ltd.,Private Equity,2500000,,Gurgaon
1372,14/09/2016,Flocareer,Consumer Internet,Jobs & Skill Validation platform,"Balasubramanian Krishnamurthy, Sidhartha Hazarika & Others",Seed Funding,150000,,Bangalore
1374,15/09/2016,infeedo,Consumer Internet,Employee engagement platform,"Dheeraj Jain, Palash Jain, Anupam Mittal, Ameera Shah,\\xc2\\xa0 Vivek Bhargava, Rahul Singh, Ambarish Gupta,",Seed Funding,200000,,Gurgaon
1375,15/09/2016,Furlenco,eCommerce,Online furniture rental startup,Lightbox Ventures and others,Private Equity,5000000,,Bangalore
1376,15/09/2016,GoPigeon,Consumer Internet,on-demand logistics service provider,Nexus Venture Partners,Private Equity,1500000,,Bangalore
1377,16/09/2016,NewsDistill,Consumer Internet,City based News Aggregator App,"Ganesh Narasimhan, Ramana Thumu, Sudhir Mallem",Seed Funding,100000,,Hyderabad
1378,16/09/2016,DoctorInsta,Consumer Internet,Online Doctor Consultations,RoundGlass Partners,Private Equity,1000000,,Gurgaon
1379,19/09/2016,Milofy,Consumer Internet,Couple Socialization App,Accel Partners,Seed Funding,750000,,Bangalore
1381,19/09/2016,Swiggy,Consumer Internet,Online Food Ordering & Delivery,Bessemer Venture Partners,Private Equity,15000000,,Bangalore
1383,20/09/2016,JustLikeNew,eCommerce,Online gadget Repair Services Marketplace,LetsVenture,Seed Funding,500000,,Hyderabad
1385,21/09/2016,Co Life,Consumer Internet,shared living and working spaces platform,Undisclosed Investors,Seed Funding,1000000,,Bangalore
1387,21/09/2016,Pepperfry,eCommerce,Furniture eTailer,"Goldman Sachs Group, Zodius Technology Fund, Norwest Venture Partners, Bertelsmann India",Private Equity,31300000,,Mumbai
1388,21/09/2016,eQuickies,eCommerce,Online Book etailer,Lothal Angel Ventures,Seed Funding,298000,,Ahmedabad
1389,21/09/2016,Khel Now,Consumer Internet,Mobile-based social networking platform,Anglian Omega Network,Seed Funding,350000,,New Delhi
1390,22/09/2016,Gadgetwood,Consumer Internet,On-Demand Gadget repair services platform,Carpediem Capital,Private Equity,6000000,,New Delhi
1392,22/09/2016,Flixy Games,Technology,Mobile Game Publisher for Indian audience,Rebright Partners,Seed Funding,425000,,Bangalore
1393,22/09/2016,HashTaag,Technology,Mobile App Development company,Undisclosed investors,Seed Funding,1000000,,Bangalore
1394,22/09/2016,PharmaRack,Technology,SAAS application for Pharma Industry,"Currae Healthtech Fund, Unicorn India Ventures",Private Equity,745000,,Pune
1395,23/09/2016,\\xc2\\xa0CloudCherry,Technology,CRM SAAS Platform,"Vertex Ventures, Cisco Ventures, IDG Ventures",Private Equity,6000000,,Chennai
1401,27/09/2016,TinyStep,Consumer Internet,Parenting Network Platform,Flipkart Logistics Pvt. Ltd,Private Equity,1580000,,Bangalore
1403,28/09/2016,Beardo,eCommerce,Mens Grooming products etailer,Venture Catalysts,Seed Funding,500000,,Ahmedabad
1404,28/09/2016,Instacar,Consumer Internet,Out-Station Taxi Rental Platform,Swastika Co Ltd.,Seed Funding,1000000,,Indore
1405,28/09/2016,Celes Care,Consumer Internet,Virtual Health Clinic for Women,Endiya Partners,Seed Funding,1000000,,Hyderabad
1406,28/09/2016,Druva,Technology,Cloud Based Data Protection Solution,"Sequoia India, EDBI, Blue Cloud Ventures, Hercules Capital",Private Equity,51000000,,Pune
1407,29/09/2016,Promon,eCommerce,Local Commerce Platform,Now Capital,Seed Funding,180000,,New Delhi
1409,29/09/2016,Unocoin,Consumer Internet,Bitcoin Wallet,"Blume Ventures, Mumbai Angels, ah! Ventures, Digital Currency Group, Boost VC, Bank to the Future and Funders Club",Private Equity,1500000,,Bangalore
1411,30/09/2016,Zeta,Technology,Enterprise Cloud Solutions,Bhavin Turakhia,Private Equity,19000000,,Mumbai
1413,01/08/2016,HealthKart,eCommerce,Online Pharmacy & Health Marketplace,"Sequoia Capital India, Omidyar Network, Kae Capital",Private Equity,12000000,,Gurgaon
1414,01/08/2016,Medinfi,Consumer Internet,Doctor & Clinic\\xc2\\xa0 Discovery Platform,"Mudit Saxena, Evan Lim",Seed Funding,200000,,Bangalore
1415,01/08/2016,RepairEasy,Consumer Internet,Gadget Repair Services Platform,Undisclosed HNIs,Seed Funding,275000,,Pune
1416,01/08/2016,Voonik,eCommerce,Online Women\\xe2\\x80\\x99s Fashion Marketplace,InnoVen Capital,Private Equity,3000000,,Bangalore
1417,01/08/2016,Tokri,Consumer Internet,Hyperlocal Grocery Delivery platform,Syska LED group,Private Equity,2500000,,Pune
1418,02/08/2016,Sheroes,Consumer Internet,Online Job and Career Platform for Women,"Lumis Partners, The HR Fund, Rajul Garg, Quintillion Media",Private Equity,1800000,,Noida
1420,02/08/2016,Yumlane,Food & Beverage,Retail Food & Snack Offline centres,"Binny Bansal, Anupam Mittal, Sachin Bhatia, Darius Pandole, Kunal Khattar, Dheerag Jain",Seed Funding,1000000,,Mumbai
1422,03/08/2016,ExtraCarbon,Consumer Internet,Waste Recycle Management platform,Brand Capital,Seed Funding,225000,,Gurgaon
1423,03/08/2016,FlickBay,Consumer Internet,Mobile Based Bollywood Discovery platform,Paul Roy,Seed Funding,890000,,Mumbai
1424,04/08/2016,Petoo,Consumer Internet,Food Delivery Platform,Existing Investors,Seed Funding,500000,,Bangalore
1427,06/08/2016,VST Travels,Technology,Travel Ticket Booking Software,Promatus Group,Seed Funding,27000,,Kerala
1429,08/08/2016,Wefly Indoor Skydiving,Others,Indoor Skydiving Sports Provider,Swastika Company Ltd.,Seed Funding,40000,,Mumbai
1430,08/08/2016,Mojarto,eCommerce,"Original Art, Digital Prints etailer",Undisclosed Investors,Seed Funding,445000,,Gurgaon
1431,08/08/2016,Zipgrid,Consumer Internet,Community services platform,1Crowd (through crowd funding),Seed Funding,200000,,Mumbai
1434,10/08/2016,Vebbler,Consumer Internet,Photo Sharing Mobile App,"Anupam Mittal, Sharad Sharma & 14 others",Seed Funding,500000,,Bangalore
1435,10/08/2016,Bombay Shaving Company,eCommerce,Men\\xe2\\x80\\x99s Grooming Product etailer,"Noshir Kaka, Subramanian Ramadorai, Kiran Deshpande, Pankaj Gupta, Ravi Nigam & Others",Seed Funding,600000,,New Delhi
1436,11/08/2016,Travelyaari,Consumer Internet,Online ticket booking platform,"Gujarat Venture Finance Limited (GVFL), Bennett Coleman & Co. Ltd",Private Equity,7000000,,Bangalore
1438,11/08/2016,Genextstudents,Consumer Internet,Online Tutoring Service provider,1Crowd (through crowdfunding),Seed Funding,209000,,Mumbai
1439,11/08/2016,Zenoti,Technology,Cloud Based Software Solutions Provider,"Norwest Venture Partners, Accel India",Private Equity,15000000,,Hyderabad
1440,12/08/2016,Crofarm,Technology,Agri-Tech supply chain Solution provider,"Mukul Singhal, Rohit Jain, Himanshu Aggrawal, Sunil Goyal Ashish Gupta,",Private Equity,1500000,,Gurgaon
1441,12/08/2016,Faircent.com,Consumer Internet,peer-to-peer lending platform,Brand Capital,Private Equity,1500000,,Gurgaon
1442,12/08/2016,Innovaccer,Technology,Integrated Enterprise Analytics Platform,Westbridge Capital Partners,Private Equity,15600000,,Noida
1443,12/08/2016,Cuberoot,Technology,Data Analytics & Audience Management Platform,Undisclosed Investors,Seed Funding,500000,,Gurgaon
1447,16/08/2016,OyoRooms,Consumer Internet,Budget Hotels Aggregator,SoftBank Group,Private Equity,62000000,,New Delhi
1448,16/08/2016,Hike,Consumer Internet,Mobile Messaging App,"Tencent Holdings, Foxconn Technology Group, Tiger Global, SoftBank Group, Bharti Enterprises",Private Equity,175000000,,New Delhi
1449,16/08/2016,Joolz,eCommerce,Online Jewellery Store,"Powerhouse Ventures, M&S Partners",Private Equity,500000,,Mumbai
1450,16/08/2016,SaleBhai,eCommerce,"Sweets, Dry Fruits & Handicrafts etailer",Brand Capital,Private Equity,1500000,,Ahmedabad
1451,16/08/2016,Makkajai,Technology,Online & Mobile learning for kids,"Anand Chandrasekaran, Ananth Narayanan, Mekin Maheshwari, Ravi Garikipati, Divyesh Shah, Swastika Company Ltd",Seed Funding,250000,,Pune
1453,17/08/2016,MaalGaadi,Logistics,Online Logistics Marketplace,"Swan Angel Network,Sachin Khandelwal and others",Seed Funding,375000,,Indore
1455,17/08/2016,Appknox,Technology,Mobile security solutions,"SeedPlus, Infocomm Investments, Accel Partners RNT Associates",Private Equity,675000,,Bangalore
1459,19/08/2016,Quikr,Consumer Internet,Classified Listings platform,Brand Capital,Private Equity,20000000,,Mumbai
1460,19/08/2016,Digio,Technology,Aadhar based Document Signing platform,Rainmatter,Private Equity,375000,,Bangalore
1463,22/08/2016,Puro Wellness,healthcare,"Organic,\\xc2\\xa0 Natural\\xc2\\xa0 Food substitute manufacturer",Torrent Group,Private Equity,37000000,,Mumbai
1466,23/08/2016,Notesgen,Consumer Internet,Online Notes Sharing Portal,"Riju Gupta, Kamal Chabra",Seed Funding,100000,,New Delhi
1468,23/08/2016,Octo.ai,Technology,Artificial Intelligence based marketing platform,"Outbox Ventures, Jaspreet Bindra, Arjun Malhotra, Rohan Malhotra, Sidharth Rao, Rakesh Agrawal",Seed Funding,200000,,New Delhi
1470,24/08/2016,UnaAcademy,Consumer Internet,Free Interactive education platform,"Blume Ventures, Sachin Bansal, Vijay Shekhar Sharma, Binny Bansal,\\xc2\\xa0 Kunal Shah, Sandeep Tandon, Ashish Tulsian",Private Equity,1000000,,Bangalore
1471,24/08/2016,Advenio,Technology,Clinical Imaging Solution Provider,Kalaari Capital,Seed Funding,100000,,Chandigarh
1472,24/08/2016,Guarented,eCommerce,Home Furnishing rental marketplace,Kalaari Capital,Seed Funding,500000,,Bangalore
1474,24/08/2016,Uber Dreams,eCommerce,Dreams fulfilling marketplace,Mohit Lalvani,Seed Funding,500000,,Mumbai
1475,24/08/2016,Convegenius,Education,Edutainment platform,Michael and Susan Dell Foundation,Private Equity,900000,,Noida
1476,24/08/2016,UrbanLadder,eCommerce,Online Furniture Store,Trifecta Capital,Private Equity,3000000,,Mumbai
1479,25/08/2016,Cult,Healthcare,Health and Fitness Centres,CureFit,Private Equity,3000000,,Bangalore
1482,25/08/2016,ZoomCar,Consumer Internet,Self-driven car booking platform,Ford Smart Mobility Llc,Private Equity,24000000,,Bangalore
1483,26/08/2016,Plix,Consumer Internet,Photo and Video Sharing App,Instalabs,Seed Funding,500000,,Gurgaon
1484,26/08/2016,Mobikwik,Consumer Internet,Digital Wallet platform,Net1 UEPS Technologies Inc,Private Equity,40000000,,Gurgaon
1485,26/08/2016,MyDidi,Consumer Internet,"on-demand, hyper-local Cleaning services provider",Undisclosed Ex Mckinsey Directors and Partners,Seed Funding,550000,,Mumbai
1487,29/08/2016,LoanTap,Consumer Internet,Lending platform for Salaried professionals,"Dr. Abhishek Pandey, Jaysukh Sapra",Private Equity,3000000,,Mumbai
1488,29/08/2016,Runnr,Consumer Internet,hyperlocal Logistics services provider,"Nexus Venture Partners, Blume Ventures",Private Equity,7000000,,Bangalore
1490,29/08/2016,Notion Press,Consumer Internet,Self-Publishing books platform,Undisclosed HNI investors,Private Equity,1000000,,Chennai
1491,29/08/2016,LivSpace,Consumer Internet,Online portal for Home Design,"Bessemer Venture Partners, Jungle Ventures, Helion Ventures",Private Equity,15000000,,Bangalore
1492,30/08/2016,iAugmentor Labs,Technology,Assessment & Learning Platform,Rajasthan Angel Investor Network & Others,Seed Funding,149000,,Gurgaon
1493,30/08/2016,DayBox,Consumer Internet,Fruit & Vegetable Delivery platform,"Ashutosh Lawania, Rajul Jain, Badal Malick, Rishi Gupta & Others",Seed Funding,104000,,New Delhi
1494,30/08/2016,Paytm,eCommerce,Mobile Wallet & ECommerce platform,MediaTek Inc.,Private Equity,60000000,,Bangalore
1495,30/08/2016,CropIn,Technology,Agriculture Technology Solutions,Sophia Investment ApS,Private Equity,2000000,,Bangalore
1496,30/08/2016,Canvera,Consumer Internet,Photographer Discovery & Information platform,Info Edge (India) Ltd,Private Equity,3000000,,Bangalore
1498,31/08/2016,Flyrobe,eCommerce,Online fashion rental platform,"IDG Ventures, Sequoia Capital, GREE Ventures",Private Equity,5300000,,Mumbai
1502,01/07/2016,Venture Catalysts,Consumer Internet,Seed Investment & Innovation Platform,Zaffiro Ventures,Seed Funding,500000,,Mumbai
1504,02/07/2016,Playment,Consumer Internet,Mobile Marketplace for Crowdsourced Work,SAIF Partners,Private Equity,700000,,Bangalore
1506,04/07/2016,Curefit,Consumer Internet,Online Preventive Healthcare Platform,"Accel Partners, IDG Ventures, Kalaari Capital",Private Equity,15000000,,Bangalore
1507,04/07/2016,StitchWood,eCommerce,Custom Furniture Online,Deepak Gupta,Seed Funding,200000,,Mumbai
1508,04/07/2016,Grab.in,Logistics,hyperlocal logistics service,Aramex Ventures Llc,Private Equity,2000000,,Mumbai
1510,04/07/2016,NeoGrowth,Finance,SME Lending platform,"IIFL Wealth Management Seed Venture Fund, Omidyar Network, Khosla Impact, Aspada",Private Equity,16000000,,Mumbai
1511,05/07/2016,SeeDoc,Consumer Internet,Video Based Doctor Consulting platform App,YourNest Angel Fund\\xc2\\xa0 & Others,Private Equity,1000000,,Gurgaon
1512,05/07/2016,BookMyShow,Consumer Internet,Event & Movie Ticketing platform,"Stripes Group, Network 18, Accel Partners, SAIF Partners",Private Equity,82000000,,Mumbai
1513,05/07/2016,Flyrobe,eCommerce,Online fashion rental platform,"Sequoia Capital, Rohit Bansal, Kunal Bahl, Sandeep Tandon, Kunal Shah, Zishaan Hayath,\\xc2\\xa0 Abhishek Jain",Seed Funding,1700000,,Mumbai
1514,06/07/2016,HappilyUnmarried,eCommerce,Online Merchandize etailer,Info Edge (India) Ltd,Private Equity,740000,,New Delhi
1515,06/07/2016,Don\\xe2\\x80\\x99t Scratch Your Head,Technology,Full Stack Offline & Online ERP Solution,"Gaurav Singhvi, Zaffiro Ventures",Seed Funding,250000,,Ahmedabad
1516,06/07/2016,Wedding Wishlist,Consumer Internet,"Wedding Wishlist, Gifts & Registry Creation platform","Kirthiga Reddy, Renuka Ramanath,Cherry Tin",Seed Funding,297000,,Chennai
1517,07/07/2016,AppDaily,Technology,Mobile Security App development & Distribution,"Kalaari Capital, Qualcomm Ventures, ru-Net, Zodius Technology Opportunities Fund,",Private Equity,2000000,,Mumbai
1518,07/07/2016,Adytude,Consumer Internet,Gamified Consumer Insights Portal,Indian Angel Network,Private Equity,1000000,,New Delhi
1522,08/07/2016,HolaChef,Consumer Internet,Online Food Ordering & Delivery Platform,"Kalaari Capital, India Quotient",Private Equity,1950000,,Mumbai
1523,11/07/2016,Purplle,eCommerce,Beauty Products Marketplace,"JSW Ventures, Blume Ventures & IvyCap Ventures",Private Equity,6000000,,Mumbai
1524,11/07/2016,Trak N Tell,Technology,Car Tracking & Safety System,Brian Acton,Private Equity,3500000,,Gurgaon
1525,11/07/2016,Overcart.com,eCommerce,Unboxed & refurbished electronic products marketplace,"JSW Ventures, Omidyar Network, Sattva Capital, Venture Works",Private Equity,3000000,,Gurgaon
1526,12/07/2016,SirionLabs,Technology,SAAS based Service Agreement Management,Sequoia Capital,Private Equity,12250000,,Gurgaon
1531,13/07/2016,YAAP,Consumer Internet,"Online Content Discovery, Creation & Distribution Platform",Rainmaker Ventures,Private Equity,5000000,,New Delhi
1533,13/07/2016,Twigly,Consumer Internet,Online Food Ordering & Delivery Startup,"Tracxn Labs, Hyderabad Angels, Kunal Shah, Gaurav Bhalotia",Seed Funding,600000,,Gurgaon
1534,13/07/2016,ShareChat,Consumer Internet,Vernacular Language Content Creation & Sharing App,"SAIF Partners, India Quotient",Private Equity,1350000,,Bangalore
1536,13/07/2016,RentMojo,Consumer Internet,Online Furniture Renting Platform,"Accel Partners, IDG Ventures India",Private Equity,5000000,,Bangalore
1539,14/07/2016,Augrav,eCommerce,Personalized precious Jewellery etailer,Keiretsu Forum,Seed Funding,450000,,Coimbatore
1540,14/07/2016,ShoppinPal,Technology,M-Commerce Solutions for Retail Stores,"Plug and Play Tech Center, Steelhead Ventures & Others",Private Equity,1070000,,Pune
1542,15/07/2016,WorkApps,Technology,Enterprise Work Management Software,SRI Capital,Seed Funding,1000000,,Pune
1543,15/07/2016,BankerBay,Consumer Internet,Online Investment Banking platform,undisclosed investors,Private Equity,2000000,,Bangalore
