Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,SubVertical,Investors Name,InvestmentnType,Amount in USD,Remarks,City
534,06/10/2017,Slice Pay,Consumer Internet,Student Micro-financing platform,"Das Capital, Simile Ventures",Private Equity,2000000,,Bangalore
536,09/10/2017,MyGubbi,eCommerce,Home Interior Designing Seller,"Firoze Irani, Vipul Parekh, Ananda Kallugadde, Rajesh K Murthy",Private Equity,2700000,,Bangalore
539,09/10/2017,OneStepUp,Technology,Education Technology platform,Orient BlackSwan,Seed Funding,336000,,New Delhi
541,10/10/2017,Parallel Dots,Technology,AI-powered deep learning solutions,"Multipoint Capital,",Private Equity,1400000,,Gurgaon
542,10/10/2017,Easy Diner,Consumer Internet,online restaurant reservation platform,Saama Capital and DSG Consumer Partners,Private Equity,4500000,,Gurgaon
543,11/10/2017,Meesho,ECommerce,Online Reseller Network,"SAIF Partners, YCombinator, Venture Highway",Private Equity,3100000,,Bangalore
544,11/10/2017,StanPlus,Logistics,Medical Transportation Services,KStart Capital,Private Equity,1100000,,Hyderabad
545,12/10/2017,UCLID,Technology,"Education Network for Institutions, teachers & Students",Undisclosed investors,Seed Funding,235000,,Hyderabad
546,13/10/2017,Policy Bazaar,Consumer Internet,Online insurance policy aggregator,"Wellington Management, DG Ventures India, True North",Private Equity,77000000,,Gurgaon
547,13/10/2017,Gapoon,Consumer Internet,home maintenance services platform,"Vida Ventures, Snehal Mantri, Anshu Bahadur",Seed Funding,250000,,Bangalore
548,13/10/2017,Chaayos,eCommerce,Online Chai ordering platform,Tiger Global Management,Private Equity,2000000,,Gurgaon
549,16/10/2017,KrazyBee,Consumer Internet,Micro-lending platform,"Xiaomi Technologies, Shunwei Capital",Private Equity,8000000,,Bangalore
550,16/10/2017,Renew Buy,Consumer Internet,Online Insurance Aggregator,Amicus Capital,Private Equity,9200000,,New Delhi
551,17/10/2017,Fingerlix,Consumer Internet,Food Ordering Portal,"Accel Partners, Zephyr Peacock",Private Equity,7000000,,Bangalore
552,18/10/2017,Bank Bazaar,Consumer Internet,Online Financial Marketplace,Experian,Private Equity,7000000,,Chennai
554,18/10/2017,BlackBuck,Logistics,B2B Logistics provider,Innoven Capital,Private Equity,7700000,,Bangalore
555,18/10/2017,LenDen Club,Consumer Internet,Online peer-to-peer lending platform,Undisclosed Investor,Seed Funding,500000,,Mumbai
556,23/10/2017,Toppr,Consumer Internet,Mobile based learning app,"SAIF Partners, Helion Ventures, FIL Capital Management",Private Equity,7000000,,Mumbai
557,23/10/2017,RAW Pressery,Food & Beverage,Cold pressed Juice maker,"DSG Consumer Partners, Sequoia Capital, Saama Capital",Private Equity,6000000,,Mumbai
558,23/10/2017,Cashe,Consumer Internet,app-only lending platform,IFMR Capital,Debt Funding,3100000,,Mumbai
559,23/10/2017,Park Easy,Consumer Internet,Machine learning based parking discovery,Rockstart Accelerator,Seed Funding,118000,,Kolkata
561,24/10/2017,FYRE,Food & Beverage,Herbal energy shot maker,Venture Catalysts,Seed Funding,500000,,Mumbai
562,24/10/2017,ZipLoan,Consumer Internet,SME lending platform,"Matrix Partners India, WaterBridge Ventures, Whiteboard Capital, Sarbvir Singh",Private Equity,3000000,,New Delhi
563,24/10/2017,Skillenza,Consumer Internet,Online Learning Platform,"Blume Ventures, Indian Angel Network",Seed Funding,722000,,Bangalore
566,25/10/2017,SpotDraft,Consumer Internet,Contract Automation,"Hunch Ventures, Spiral Ventures, 500 Startups, Singapore Angel Network, Citrus Payments",Seed Funding,550000,,Gurgaon
567,26/10/2017,Big Basket,eCommerce,Online Grocery portal,Helion Ventures Partners,Private Equity,5000000,,Bangalore
568,27/10/2017,OfBusiness,Technology,B2B Finance & Fulfilment Network,Kotak Mahindra Bank,Debt Funding,3800000,,Gurgaon
570,28/10/2017,CashFree,Technology,Payments Platform for Marketplaces and Fintechs,Y Combinator,Seed Funding,120000,,New Delhi
571,28/10/2017,Ola Cabs,Consumer Internet,App based cab hailing services,ANI Technologies Pvt. Ltd,Private Equity,7700000,,Bangalore
572,30/10/2017,GoldFarm,Food & Beverage,Agriculture Technology,Mahindra & Mahindra and Infuse Ventures,Private Equity,2000000,,Coimbatore
573,31/10/2017,NetMeds,ECommerce,Online Pharmacy,TannCam Investment & Sistema Asia Fund,Private Equity,14000000,,Chennai
574,31/10/2017,MSE,Finance,Equity Stock Exchange,"IL&FS, Trust Capital, Rosy Blue Securities, Radhakrishan Damani and Rakesh Jhunjhunwala",Private Equity,32000000,,Mumbai
575,01/09/2017,Aahaa Stores,eCommece,Online B2B store for office supplies,YourNest Angel Fund,Private Equity,1000000,,Chennai
576,01/09/2017,MFine,Consumer Internet,Online Doctor Discovery platform,"Stellaris Venture Partners, Mayur Abhaya, Rohit MA",Private Equity,1500000,,Bangalore
577,01/09/2017,Canvera,Consumer Internet,Online Photography platform,InfoEdge,Private Equity,1300000,,Mumbai
578,04/09/2017,PrimaryIO,Technology,Application Performance Acceleration,"Accel Partners, Exfinity Ventures, Partech Ventures",Private Equity,5600000,,Pune
579,05/09/2017,Shubh Loans,Consumer Internet,online lending platform,"SRI Capital, BeeNext, Pravega Ventures",Private Equity,1500000,,Bangalore
580,05/09/2017,Nest Education,Technology,EduTech Platform,"Michael and Susan Dell Foundation, Anand Mahindra",Seed Funding,600000,,Gurgaon
581,06/09/2017,Lending Kart,Consumer Internet,Online Lending Platform,"Bertelsmann India, Mayfield Capital, Saama Capital, Darrin Capital",Private Equity,10750000,,Ahmedabad
582,06/09/2017,GoFro,Consumer Internet,Online travel booking platform,"HIS Co. Ltd, MakeMyTrip",Private Equity,10000000,,New Delhi
583,06/09/2017,OncoStem,Healthcare,Medical Diagnostic Solutions,"Sequoia Capital India, Artiman Ventures",Private Equity,6000000,,Bangalore
584,06/09/2017,Power2SME,eCommerce,Buying Club for Small Businesses,"International Finance Corporation (IFC), Inventus Capital Partners, Accel Partners, Kalaari Capital, and Nandan Nilekani,",Private Equity,26000000,,Gurgaon
585,07/09/2017,Credit Vidya,Consumer Internet,Online Credit scoring platform,Matrix Partners,Private Equity,5000000,,Mumbai
587,07/09/2017,OYO Rooms,Consumer Internet,Branded budget hotels marketplace,"SoftBank Group, Sequoia Capital India, Lightspeed Venture Partners, Greenoaks Capital, Hero Enterprise",Private Equity,250000000,,Gurgaon
588,07/09/2017,Early Salary,Consumer Internet,Online Unsecured Lending platform,IFMR Capital,Debt Funding,780000,,Pune
590,07/09/2017,Seniority,eCommerce,Ecommerce portal for senior citizens,RPG Enterprises,Private Equity,1000000,,Pune
591,08/09/2017,AYE Finance,Consumer Internet,Micro Lending Platform,"Triodos Investment Management,",Debt Funding,6900000,,New Delhi
593,11/09/2017,Ecom Express,Logistics,Logistics Solutions provider,Warburg Pincus,Private Equity,30000000,,New Delhi
594,11/09/2017,Call Health,Consumer Internet,Healthcare Services Aggregator,"Sachin Tendulkar, P.V SIndhu, Pullela Gopichand",Private Equity,6200000,,Hyderabad
596,12/09/2017,3HCare,Consumer Internet,Healthcare services portal,Undisclosed Investor,Seed Funding,100000,,New Delhi
597,12/09/2017,Tonbo Imaging,Technology,Imaging Technology for Armed Forces,"WRV Capital, Qualcomm Ventures, Edelweiss Private Equity, Artiman Ventures",Private Equity,17000000,,Bangalore
598,12/09/2017,Get My Parking,Consumer Internet,Smart Parking Enabler,"IAN Fund, Beenext, Indian Angel Network",Private Equity,3000000,,New Delhi
600,13/09/2017,Glowroad,Consumer Internet,women focussed customer-to-customer reseller network,"Accel Partners,",Private Equity,2000000,,Bangalore
601,13/09/2017,OYO Rooms,Consumer Internet,udget hotel marketplace,China Lodging Group,Private Equity,10000000,,Gurgaon
602,13/09/2017,Unacademy,Consumer Internet,Online learning platform,"Sequoia Capital India, SAIF Partners, Nexus Venture Partners and Blume Ventures,",Private Equity,11500000,,Mumbai
603,13/09/2017,Heterogenous,Technology,Telecom & IoT platform,"Chennai Angels, Keiretsu Forum & Others",Seed Funding,780000,,Chennai
605,14/09/2017,Smaaash,Technology,Virtual Reality gaming and entertainment platform,ECL Finance,Private Equity,44000000,,Mumbai
606,14/09/2017,WheelStreet,Consumer Portal,Bike Rental Platform,Y Combinator,Seed Funding,120000,,Bangalore
608,18/09/2017,The Moms Co,eCommerce,Pregnancy & Baby Care product etailer,"DSG Consumer Partners, Saama Capital",Private Equity,1000000,,Gurgaon
610,19/09/2017,High Radius,Technology,Integrated receivables software solutions,Susquehanna Growth Equity LLC,Private Equity,50000000,,Hyderabad
612,21/09/2017,SaveBC,Finance,financial services firm,Incofin Investment Management.,Private Equity,6000000,,Gaya
615,21/09/2017,Homergize,eCommerce,Home Furnishing & Building material marketplace,LG Chandrasekhar,Private Equity,1000000,,Bangalore
616,22/09/2017,Yatra.com,eCommerce,Online Travel Agency,InnoVen Capital India,Debt Funding,15400000,,Gurgaon
619,25/09/2017,Synup,Technology,SME Marketing Management Solution,"Vertex Ventures, Prime Venture Partners.",Private Equity,6000000,,Bangalore
622,25/09/2017,Rapido,Consumer Internet,Bike Aggregator Mobile App,Battery Road Digital Holdings LLC,Seed Funding,422000,,Bangalore
623,25/09/2017,Sportobuddy,Consumer Internet,Sports & Sport related equipment portal,Mehul Shah,Seed Funding,150000,,Mumbai
627,27/09/2017,Transerve,Technology,Geospatial Technology-based SaaS solutions,"IL&FS Investment Managers, Omidyar Network.",Private Equity,1600000,,Mumbai
629,27/09/2017,Pitstop,Consumer Internet,Car repair and Servicing Platform,"Blume Ventures, Goldbell Group, Anurag Srivastava, Shailesh Rao, Amiya Pathak, Rajesh Yohanan and Rahul Garg",Private Equity,1000000,,Bangalore
631,27/09/2017,MyUpchar,Consumer Internet,Local Language Health Information portal,LetsVenture,Seed Funding,300000,,New Delhi
632,28/09/2017,Aadyah,Technology,Defense Tech & Aerospace startup,Keiretsu Forum,Private Equity,1000000,,Bangalore
633,01/08/2017,TouchKin,Technology,Predictive Care Platform,Kae Capital,Private Equity,1300000,,Bangalore
636,02/08/2017,Zepo,Consumer Internet,DIY Ecommerce platform,"Kunal Shah, LetsVenture, Anupam Mittal, Hetal Sonpal",Seed Funding,500000,,Mumbai
637,02/08/2017,Click2Clinic,Consumer Internet,healthcare service aggregator,"Narottam Thudi, Shireesh Palle",Seed Funding,850000,,Hyderabad
638,03/08/2017,SpeedBox,Logistics,On-Demand Logistics Service provider,Cismat Cargo Services Pvt. Ltd.,Seed Funding,300000,,Mumbai
646,08/08/2017,New Castle Technologies,Technology,Hospital Management Software,Undisclosed investors,Seed Funding,243000,,Chennai
647,08/08/2017,My Forex Eye,Consumer Internet,foreign exchange services,"Rahul Dev Kumar, Rajesh Mahajan, Ankit Sharma and others",Seed Funding,220000,,New Delhi
648,09/08/2017,TruxApp,Logistics,Mobile based Logistics Service,"Venugopal Dhoot, Ajay Bhatia, Tarun Khandelwal, Ganpat Singhvi, Mandhian family & Others",Seed Funding,3100000,,New Delhi
649,09/08/2017,CroFarm,Technology,Agriculture Supply Chain solutions,Factor[e] Ventures,Seed Funding,783000,,Gurgaon
652,11/08/2017,Flipkart,eCommerce,Online Marketplace,Softbank,Private Equity,2500000000,,Bangalore
654,11/08/2017,Ola Cabs,Consumer Internet,App based cab aggregation Service,Tekne Capital Management,Private Equity,36000000,,Gurgaon
656,14/08/2017,Digilend,Technology,Personal Loans & EMI solutions platform,"InCred Finance, Fullerton India Credit Company Ltd",Seed Funding,312000,,Mumbai
657,15/08/2017,KNAB Finance,Consumer Internet,Unsecured Small Business Loans,"InCred, Krishnakumar Natarajan, Ravi Bhardwaj",Seed Funding,385000,,Bangalore
659,20/08/2017,Rootefy,eCommerce,Building material online store,"Abhinav Gupta,",Seed Funding,187000,,New Delhi
660,21/08/2017,Uniphore,Technology,speech recognition startup,IDG Ventures,Private Equity,6800000,,Chennai
661,21/08/2017,Cerebroz,Consumer Internet,E-Tech platform,Undisclosed HNI\\xe2\\x80\\x99s,Seed Funding,734000,,Vadodara
665,23/08/2017,Dhruva,Technology,Cloud data protection and management solutions,"Riverwood Capital, Sequoia Capital India, Nexus Venture Partners, Tenaya Capital",Private Equity,80000000,,Pune
666,23/08/2017,Bombay Shaving Company,eCommerce,Men Grooming product etailer,Fireside Ventures,Private Equity,2300000,,New Delhi
668,23/08/2017,Indiez,Technology,Software & Mobile app development platform,Haresh Chawla,Seed Funding,500000,,Bangalore
669,24/08/2017,Ezetap,Technology,mPOS solutions provider,"JS Capital Management, Social Capital, Horizons Ventures,",Private Equity,16000000,,Bangalore
670,25/08/2017,Ink Monk,Consumer Internet,Online printing marketplace,"VAMM Ventures, Raksul, Dena",Seed Funding,750000,,Chennai
671,25/08/2017,Medinfi,Consumer Internet,Online Doctor Discovery Platform,"PBS Srinivas, Vinod Martin,",Seed Funding,125000,,Bangalore
672,28/08/2017,Mobikon,Technology,Restaurant & Hotel CRM platform,"Sistema Asia Fund, C31 Ventures, Qualgro.",Private Equity,7000000,,Pune
673,29/08/2017,CureFit,Consumer Internet,End to End health and wellness platform.,"Accel Partners, IDG Ventures, Kalaari Capital,\\xc2\\xa0 UC-RNT fund",Private Equity,25000000,,Bangalore
674,29/08/2017,Doxper,Technology,Healthtech IoT platform,"idal Health, growx ventures, Capier Investments, Globevestor & others",Seed Funding,750000,,Mumbai
676,30/08/2017,Treebo,Consumer Internet,Budget Hotel Aggregator platform,"Ward Ferry Management and Karst Peak Capital,",Private Equity,34000000,,Bangalore
677,30/08/2017,MedGenome,Technology,Genomics Research and Diagnostics Solutions,"Sequoia India, Sofina s.a., Zodius Capital, Kris Gopalakrishnan, Lakshmi Narayanan,",Private Equity,30000000,,Bangalore
678,01/07/2017,Billion Loans,Consumer Internet,Peer to Peer Lending platform,Reliance Corporate Advisory Services Ltd,Seed Funding,1000000,,Bangalore
679,03/07/2017,Ecolibriumenergy,Technology,Energy management solutions provider,"Infuse Ventures, JLL",Private Equity,2600000,,Ahmedabad
680,04/07/2017,Droom,eCommerce,Online marketplace for automobiles,"Asset Management (Asia) Ltd, Digital Garage Inc",Private Equity,20000000,,Gurgaon
681,05/07/2017,Jumbotail,eCommerce,online marketplace for food and grocery,"Kalaari Capital, Nexus India Capital Advisors",Private Equity,8500000,,Bangalore
682,05/07/2017,Moglix,eCommerce,B2B marketplace for Industrial products,"International Finance Corporation, Rocketship, Accel Partners, Jungle Ventures, Shailesh Rao, Venture Highway",Private Equity,12000000,,Noida
683,05/07/2017,Timesaverz,Consumer Internet,Hyperlocal home services provider,BCCL,Private Equity,1000000,,Mumbai
686,07/07/2017,Clip App,Consumer Internet,Digital Media Video platform,"India Quotient, Shunwei Capital",Seed Funding,1000000,,Bangalore
688,10/07/2017,Autorox.co,Technology,Workshop Management Software Platform,Mitsui & Co.,Private Equity,3000000,,Hyderabad
689,11/07/2017,Fabogo,Consumer Internet,Salon & Spa Aggregation & Discovery platform,Dunamis Ventures Pte Ltd,Private Equity,2250000,,Pune
690,11/07/2017,Flickstree,Consumer Internet,Video Content Discovery Platform,"Venture Catalysts, Sourav Ganguly, Ankit Aditya, Moksh Sports Ventures",Seed Funding,464000,,Mumbai
692,12/07/2017,Innoviti,Technology,Digital payments solutions,"SBI-FMO Fund, Bessemer Venture Partners, Catamaran Ventures",Private Equity,18500000,,Bangalore
696,14/07/2017,QwikSpec,Technology,Construction site operations and analytics platform,"Brigade Innovations LLP, TV Mohandas Pai, Suhail Rahman, Bobby Reddy, M George Oommen",Seed Funding,540000,,Bangalore
697,14/07/2017,Chumbak,eCommerce,Designer consumer products Marketplace,Blacksoil Capital Pvt. Ltd,Private Equity,1700000,,Bangalore
698,17/07/2017,Increff,Technology,Sales Solutions for Fashion Brands,"Sequoia Capital, Grey Orange, Rajesh Ramaiah, Anshuman Das, Rishi Das",Seed Funding,2000000,,Bangalore
699,17/07/2017,Vayana,Technology,Enterprise Banking Solutions,"IDG Ventures India Advisors, Jungle Ventures",Private Equity,4000000,,Pune
704,19/07/2017,Rentomojo,Consumer Internet,Consumer Leasing Platform,"ain Capital Ventures, Renaud Laplanche",Private Equity,10000000,,Bangalore
706,19/07/2017,Playablo,Technology,Gamified Learning App,ABI-Showatech (India) Ltd,Seed Funding,600000,,Bangalore
707,20/07/2017,Trupay,Technology,Online payments platform,"Kae Capital, M&S Partners,",Seed Funding,700000,,Gurgaon
708,21/07/2017,Brick2Wall,eCommerce,Online Marketplace for Construction Material,"Subramani Somasundaram, Sundeep Sahni, Mayank Mittal & Others",Seed Funding,200000,,Gurgaon
712,25/07/2017,Noticeboard,Consumer Internet,Mobile-first Enterprise communication platform,"Stellaris Venture Partners,",Private Equity,1200000,,Bangalore
713,25/07/2017,Byju\\xe2\\x80\\x99s,Consumer Internet,Mobile Learning App,Tencent Holdings,Private Equity,35000000,,Bangalore
715,26/07/2017,Fab Hotels,Consumer Internet,Budget hotels brand & Aggregator Platform,Goldman Sachs,Private Equity,25000000,,New Delhi
716,26/07/2017,ThinkerBell,Consumer Internet,Assisted Learning Startup,"Indian Angel Network, Anand Mahindra",Seed Funding,200000,,Bangalore
717,27/07/2017,1mg,eCommerce,Online Pharmacy,"HBM Healthcare Investments, Maverick Capital Ventures, Sequoia India, Omidyar Network and Kae Capital",Private Equity,15000000,,Gurgaon
719,28/07/2017,BigStylist,Consumer Internet,Beauty Services Marketplace,Info Edge (India) Ltd,Private Equity,1250000,,Mumbai
722,02/06/2017,RentOnGo,eCommerce,"Online Marketplace for Renting Bikes, Electronics & Appliances",TVS Motor Company,Seed Funding,234000,,Bangalore
